,W,L,W/L%,GB,PS/G,PA/G,SRS,Year,Team
0,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,1991,Atlantic Division
1,49,23,.681,—,113.6,108.1,5.28,1991,Philadelphia 76ers*
2,48,24,.667,1.0,118.6,114.1,4.24,1991,Brooklyn Nets*
3,41,31,.569,8.0,107.0,104.7,2.13,1991,New York Knicks*
4,36,36,.500,13.0,112.6,111.2,1.32,1991,Boston Celtics*
5,27,45,.375,22.0,111.3,111.7,-0.54,1991,Toronto Raptors
6,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,1991,Central Division
7,46,26,.639,—,120.1,114.2,5.57,1991,Milwaukee Bucks*
8,34,38,.472,12.0,115.3,115.3,-0.13,1991,Indiana Pacers
9,31,41,.431,15.0,110.7,111.6,-0.94,1991,Chicago Bulls
10,22,50,.306,24.0,103.8,112.3,-8.19,1991,Cleveland Cavaliers
11,20,52,.278,26.0,106.6,111.1,-4.38,1991,Detroit Pistons
12,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,1991,Southeast Division
13,41,31,.569,—,113.7,111.4,2.14,1991,Atlanta Hawks*
14,40,32,.556,1.0,108.1,108.0,-0.06,1991,Miami Heat*
15,34,38,.472,7.0,116.6,118.5,-1.85,1991,Washington Wizards*
16,33,39,.458,8.0,109.5,111.4,-1.94,1991,Charlotte Hornets
17,21,51,.292,20.0,104.0,113.3,-9.02,1991,Orlando Magic
0,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,1991,Northwest Division
1,52,20,.722,—,116.4,107.2,8.97,1991,Utah Jazz*
2,47,25,.653,5.0,115.1,110.1,4.82,1991,Denver Nuggets*
3,42,30,.583,10.0,116.1,114.3,1.81,1991,Portland Trail Blazers*
4,23,49,.319,29.0,112.1,117.7,-5.25,1991,Minnesota Timberwolves
5,22,50,.306,30.0,105.0,115.6,-10.13,1991,Oklahoma City Thunder
6,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,1991,Pacific Division
7,51,21,.708,—,115.3,109.5,5.67,1991,Phoenix Suns*
8,47,25,.653,4.0,114.0,107.8,6.02,1991,Los Angeles Clippers*
9,42,30,.583,9.0,109.5,106.8,2.77,1991,Los Angeles Lakers*
10,39,33,.542,12.0,113.7,112.7,1.10,1991,Golden State Warriors
11,31,41,.431,20.0,113.7,117.4,-3.45,1991,Sacramento Kings
12,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,1991,Southwest Division
13,42,30,.583,—,112.4,110.2,2.26,1991,Dallas Mavericks*
14,38,34,.528,4.0,113.3,112.3,1.07,1991,Memphis Grizzlies*
15,33,39,.458,9.0,111.1,112.8,-1.58,1991,San Antonio Spurs
16,31,41,.431,11.0,114.6,114.9,-0.20,1991,New Orleans Pelicans
17,17,55,.236,25.0,108.8,116.7,-7.50,1991,Houston Rockets
0,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,1992,Atlantic Division
1,49,23,.681,—,113.6,108.1,5.28,1992,Philadelphia 76ers*
2,48,24,.667,1.0,118.6,114.1,4.24,1992,Brooklyn Nets*
3,41,31,.569,8.0,107.0,104.7,2.13,1992,New York Knicks*
4,36,36,.500,13.0,112.6,111.2,1.32,1992,Boston Celtics*
5,27,45,.375,22.0,111.3,111.7,-0.54,1992,Toronto Raptors
6,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,1992,Central Division
7,46,26,.639,—,120.1,114.2,5.57,1992,Milwaukee Bucks*
8,34,38,.472,12.0,115.3,115.3,-0.13,1992,Indiana Pacers
9,31,41,.431,15.0,110.7,111.6,-0.94,1992,Chicago Bulls
10,22,50,.306,24.0,103.8,112.3,-8.19,1992,Cleveland Cavaliers
11,20,52,.278,26.0,106.6,111.1,-4.38,1992,Detroit Pistons
12,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,1992,Southeast Division
13,41,31,.569,—,113.7,111.4,2.14,1992,Atlanta Hawks*
14,40,32,.556,1.0,108.1,108.0,-0.06,1992,Miami Heat*
15,34,38,.472,7.0,116.6,118.5,-1.85,1992,Washington Wizards*
16,33,39,.458,8.0,109.5,111.4,-1.94,1992,Charlotte Hornets
17,21,51,.292,20.0,104.0,113.3,-9.02,1992,Orlando Magic
0,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,1992,Northwest Division
1,52,20,.722,—,116.4,107.2,8.97,1992,Utah Jazz*
2,47,25,.653,5.0,115.1,110.1,4.82,1992,Denver Nuggets*
3,42,30,.583,10.0,116.1,114.3,1.81,1992,Portland Trail Blazers*
4,23,49,.319,29.0,112.1,117.7,-5.25,1992,Minnesota Timberwolves
5,22,50,.306,30.0,105.0,115.6,-10.13,1992,Oklahoma City Thunder
6,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,1992,Pacific Division
7,51,21,.708,—,115.3,109.5,5.67,1992,Phoenix Suns*
8,47,25,.653,4.0,114.0,107.8,6.02,1992,Los Angeles Clippers*
9,42,30,.583,9.0,109.5,106.8,2.77,1992,Los Angeles Lakers*
10,39,33,.542,12.0,113.7,112.7,1.10,1992,Golden State Warriors
11,31,41,.431,20.0,113.7,117.4,-3.45,1992,Sacramento Kings
12,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,1992,Southwest Division
13,42,30,.583,—,112.4,110.2,2.26,1992,Dallas Mavericks*
14,38,34,.528,4.0,113.3,112.3,1.07,1992,Memphis Grizzlies*
15,33,39,.458,9.0,111.1,112.8,-1.58,1992,San Antonio Spurs
16,31,41,.431,11.0,114.6,114.9,-0.20,1992,New Orleans Pelicans
17,17,55,.236,25.0,108.8,116.7,-7.50,1992,Houston Rockets
0,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,1993,Atlantic Division
1,49,23,.681,—,113.6,108.1,5.28,1993,Philadelphia 76ers*
2,48,24,.667,1.0,118.6,114.1,4.24,1993,Brooklyn Nets*
3,41,31,.569,8.0,107.0,104.7,2.13,1993,New York Knicks*
4,36,36,.500,13.0,112.6,111.2,1.32,1993,Boston Celtics*
5,27,45,.375,22.0,111.3,111.7,-0.54,1993,Toronto Raptors
6,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,1993,Central Division
7,46,26,.639,—,120.1,114.2,5.57,1993,Milwaukee Bucks*
8,34,38,.472,12.0,115.3,115.3,-0.13,1993,Indiana Pacers
9,31,41,.431,15.0,110.7,111.6,-0.94,1993,Chicago Bulls
10,22,50,.306,24.0,103.8,112.3,-8.19,1993,Cleveland Cavaliers
11,20,52,.278,26.0,106.6,111.1,-4.38,1993,Detroit Pistons
12,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,1993,Southeast Division
13,41,31,.569,—,113.7,111.4,2.14,1993,Atlanta Hawks*
14,40,32,.556,1.0,108.1,108.0,-0.06,1993,Miami Heat*
15,34,38,.472,7.0,116.6,118.5,-1.85,1993,Washington Wizards*
16,33,39,.458,8.0,109.5,111.4,-1.94,1993,Charlotte Hornets
17,21,51,.292,20.0,104.0,113.3,-9.02,1993,Orlando Magic
0,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,1993,Northwest Division
1,52,20,.722,—,116.4,107.2,8.97,1993,Utah Jazz*
2,47,25,.653,5.0,115.1,110.1,4.82,1993,Denver Nuggets*
3,42,30,.583,10.0,116.1,114.3,1.81,1993,Portland Trail Blazers*
4,23,49,.319,29.0,112.1,117.7,-5.25,1993,Minnesota Timberwolves
5,22,50,.306,30.0,105.0,115.6,-10.13,1993,Oklahoma City Thunder
6,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,1993,Pacific Division
7,51,21,.708,—,115.3,109.5,5.67,1993,Phoenix Suns*
8,47,25,.653,4.0,114.0,107.8,6.02,1993,Los Angeles Clippers*
9,42,30,.583,9.0,109.5,106.8,2.77,1993,Los Angeles Lakers*
10,39,33,.542,12.0,113.7,112.7,1.10,1993,Golden State Warriors
11,31,41,.431,20.0,113.7,117.4,-3.45,1993,Sacramento Kings
12,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,1993,Southwest Division
13,42,30,.583,—,112.4,110.2,2.26,1993,Dallas Mavericks*
14,38,34,.528,4.0,113.3,112.3,1.07,1993,Memphis Grizzlies*
15,33,39,.458,9.0,111.1,112.8,-1.58,1993,San Antonio Spurs
16,31,41,.431,11.0,114.6,114.9,-0.20,1993,New Orleans Pelicans
17,17,55,.236,25.0,108.8,116.7,-7.50,1993,Houston Rockets
0,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,1994,Atlantic Division
1,49,23,.681,—,113.6,108.1,5.28,1994,Philadelphia 76ers*
2,48,24,.667,1.0,118.6,114.1,4.24,1994,Brooklyn Nets*
3,41,31,.569,8.0,107.0,104.7,2.13,1994,New York Knicks*
4,36,36,.500,13.0,112.6,111.2,1.32,1994,Boston Celtics*
5,27,45,.375,22.0,111.3,111.7,-0.54,1994,Toronto Raptors
6,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,1994,Central Division
7,46,26,.639,—,120.1,114.2,5.57,1994,Milwaukee Bucks*
8,34,38,.472,12.0,115.3,115.3,-0.13,1994,Indiana Pacers
9,31,41,.431,15.0,110.7,111.6,-0.94,1994,Chicago Bulls
10,22,50,.306,24.0,103.8,112.3,-8.19,1994,Cleveland Cavaliers
11,20,52,.278,26.0,106.6,111.1,-4.38,1994,Detroit Pistons
12,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,1994,Southeast Division
13,41,31,.569,—,113.7,111.4,2.14,1994,Atlanta Hawks*
14,40,32,.556,1.0,108.1,108.0,-0.06,1994,Miami Heat*
15,34,38,.472,7.0,116.6,118.5,-1.85,1994,Washington Wizards*
16,33,39,.458,8.0,109.5,111.4,-1.94,1994,Charlotte Hornets
17,21,51,.292,20.0,104.0,113.3,-9.02,1994,Orlando Magic
0,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,1994,Northwest Division
1,52,20,.722,—,116.4,107.2,8.97,1994,Utah Jazz*
2,47,25,.653,5.0,115.1,110.1,4.82,1994,Denver Nuggets*
3,42,30,.583,10.0,116.1,114.3,1.81,1994,Portland Trail Blazers*
4,23,49,.319,29.0,112.1,117.7,-5.25,1994,Minnesota Timberwolves
5,22,50,.306,30.0,105.0,115.6,-10.13,1994,Oklahoma City Thunder
6,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,1994,Pacific Division
7,51,21,.708,—,115.3,109.5,5.67,1994,Phoenix Suns*
8,47,25,.653,4.0,114.0,107.8,6.02,1994,Los Angeles Clippers*
9,42,30,.583,9.0,109.5,106.8,2.77,1994,Los Angeles Lakers*
10,39,33,.542,12.0,113.7,112.7,1.10,1994,Golden State Warriors
11,31,41,.431,20.0,113.7,117.4,-3.45,1994,Sacramento Kings
12,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,1994,Southwest Division
13,42,30,.583,—,112.4,110.2,2.26,1994,Dallas Mavericks*
14,38,34,.528,4.0,113.3,112.3,1.07,1994,Memphis Grizzlies*
15,33,39,.458,9.0,111.1,112.8,-1.58,1994,San Antonio Spurs
16,31,41,.431,11.0,114.6,114.9,-0.20,1994,New Orleans Pelicans
17,17,55,.236,25.0,108.8,116.7,-7.50,1994,Houston Rockets
0,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,1995,Atlantic Division
1,49,23,.681,—,113.6,108.1,5.28,1995,Philadelphia 76ers*
2,48,24,.667,1.0,118.6,114.1,4.24,1995,Brooklyn Nets*
3,41,31,.569,8.0,107.0,104.7,2.13,1995,New York Knicks*
4,36,36,.500,13.0,112.6,111.2,1.32,1995,Boston Celtics*
5,27,45,.375,22.0,111.3,111.7,-0.54,1995,Toronto Raptors
6,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,1995,Central Division
7,46,26,.639,—,120.1,114.2,5.57,1995,Milwaukee Bucks*
8,34,38,.472,12.0,115.3,115.3,-0.13,1995,Indiana Pacers
9,31,41,.431,15.0,110.7,111.6,-0.94,1995,Chicago Bulls
10,22,50,.306,24.0,103.8,112.3,-8.19,1995,Cleveland Cavaliers
11,20,52,.278,26.0,106.6,111.1,-4.38,1995,Detroit Pistons
12,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,1995,Southeast Division
13,41,31,.569,—,113.7,111.4,2.14,1995,Atlanta Hawks*
14,40,32,.556,1.0,108.1,108.0,-0.06,1995,Miami Heat*
15,34,38,.472,7.0,116.6,118.5,-1.85,1995,Washington Wizards*
16,33,39,.458,8.0,109.5,111.4,-1.94,1995,Charlotte Hornets
17,21,51,.292,20.0,104.0,113.3,-9.02,1995,Orlando Magic
0,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,1995,Northwest Division
1,52,20,.722,—,116.4,107.2,8.97,1995,Utah Jazz*
2,47,25,.653,5.0,115.1,110.1,4.82,1995,Denver Nuggets*
3,42,30,.583,10.0,116.1,114.3,1.81,1995,Portland Trail Blazers*
4,23,49,.319,29.0,112.1,117.7,-5.25,1995,Minnesota Timberwolves
5,22,50,.306,30.0,105.0,115.6,-10.13,1995,Oklahoma City Thunder
6,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,1995,Pacific Division
7,51,21,.708,—,115.3,109.5,5.67,1995,Phoenix Suns*
8,47,25,.653,4.0,114.0,107.8,6.02,1995,Los Angeles Clippers*
9,42,30,.583,9.0,109.5,106.8,2.77,1995,Los Angeles Lakers*
10,39,33,.542,12.0,113.7,112.7,1.10,1995,Golden State Warriors
11,31,41,.431,20.0,113.7,117.4,-3.45,1995,Sacramento Kings
12,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,1995,Southwest Division
13,42,30,.583,—,112.4,110.2,2.26,1995,Dallas Mavericks*
14,38,34,.528,4.0,113.3,112.3,1.07,1995,Memphis Grizzlies*
15,33,39,.458,9.0,111.1,112.8,-1.58,1995,San Antonio Spurs
16,31,41,.431,11.0,114.6,114.9,-0.20,1995,New Orleans Pelicans
17,17,55,.236,25.0,108.8,116.7,-7.50,1995,Houston Rockets
0,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,1996,Atlantic Division
1,49,23,.681,—,113.6,108.1,5.28,1996,Philadelphia 76ers*
2,48,24,.667,1.0,118.6,114.1,4.24,1996,Brooklyn Nets*
3,41,31,.569,8.0,107.0,104.7,2.13,1996,New York Knicks*
4,36,36,.500,13.0,112.6,111.2,1.32,1996,Boston Celtics*
5,27,45,.375,22.0,111.3,111.7,-0.54,1996,Toronto Raptors
6,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,1996,Central Division
7,46,26,.639,—,120.1,114.2,5.57,1996,Milwaukee Bucks*
8,34,38,.472,12.0,115.3,115.3,-0.13,1996,Indiana Pacers
9,31,41,.431,15.0,110.7,111.6,-0.94,1996,Chicago Bulls
10,22,50,.306,24.0,103.8,112.3,-8.19,1996,Cleveland Cavaliers
11,20,52,.278,26.0,106.6,111.1,-4.38,1996,Detroit Pistons
12,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,1996,Southeast Division
13,41,31,.569,—,113.7,111.4,2.14,1996,Atlanta Hawks*
14,40,32,.556,1.0,108.1,108.0,-0.06,1996,Miami Heat*
15,34,38,.472,7.0,116.6,118.5,-1.85,1996,Washington Wizards*
16,33,39,.458,8.0,109.5,111.4,-1.94,1996,Charlotte Hornets
17,21,51,.292,20.0,104.0,113.3,-9.02,1996,Orlando Magic
0,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,1996,Northwest Division
1,52,20,.722,—,116.4,107.2,8.97,1996,Utah Jazz*
2,47,25,.653,5.0,115.1,110.1,4.82,1996,Denver Nuggets*
3,42,30,.583,10.0,116.1,114.3,1.81,1996,Portland Trail Blazers*
4,23,49,.319,29.0,112.1,117.7,-5.25,1996,Minnesota Timberwolves
5,22,50,.306,30.0,105.0,115.6,-10.13,1996,Oklahoma City Thunder
6,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,1996,Pacific Division
7,51,21,.708,—,115.3,109.5,5.67,1996,Phoenix Suns*
8,47,25,.653,4.0,114.0,107.8,6.02,1996,Los Angeles Clippers*
9,42,30,.583,9.0,109.5,106.8,2.77,1996,Los Angeles Lakers*
10,39,33,.542,12.0,113.7,112.7,1.10,1996,Golden State Warriors
11,31,41,.431,20.0,113.7,117.4,-3.45,1996,Sacramento Kings
12,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,1996,Southwest Division
13,42,30,.583,—,112.4,110.2,2.26,1996,Dallas Mavericks*
14,38,34,.528,4.0,113.3,112.3,1.07,1996,Memphis Grizzlies*
15,33,39,.458,9.0,111.1,112.8,-1.58,1996,San Antonio Spurs
16,31,41,.431,11.0,114.6,114.9,-0.20,1996,New Orleans Pelicans
17,17,55,.236,25.0,108.8,116.7,-7.50,1996,Houston Rockets
0,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,1997,Atlantic Division
1,49,23,.681,—,113.6,108.1,5.28,1997,Philadelphia 76ers*
2,48,24,.667,1.0,118.6,114.1,4.24,1997,Brooklyn Nets*
3,41,31,.569,8.0,107.0,104.7,2.13,1997,New York Knicks*
4,36,36,.500,13.0,112.6,111.2,1.32,1997,Boston Celtics*
5,27,45,.375,22.0,111.3,111.7,-0.54,1997,Toronto Raptors
6,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,1997,Central Division
7,46,26,.639,—,120.1,114.2,5.57,1997,Milwaukee Bucks*
8,34,38,.472,12.0,115.3,115.3,-0.13,1997,Indiana Pacers
9,31,41,.431,15.0,110.7,111.6,-0.94,1997,Chicago Bulls
10,22,50,.306,24.0,103.8,112.3,-8.19,1997,Cleveland Cavaliers
11,20,52,.278,26.0,106.6,111.1,-4.38,1997,Detroit Pistons
12,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,1997,Southeast Division
13,41,31,.569,—,113.7,111.4,2.14,1997,Atlanta Hawks*
14,40,32,.556,1.0,108.1,108.0,-0.06,1997,Miami Heat*
15,34,38,.472,7.0,116.6,118.5,-1.85,1997,Washington Wizards*
16,33,39,.458,8.0,109.5,111.4,-1.94,1997,Charlotte Hornets
17,21,51,.292,20.0,104.0,113.3,-9.02,1997,Orlando Magic
0,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,1997,Northwest Division
1,52,20,.722,—,116.4,107.2,8.97,1997,Utah Jazz*
2,47,25,.653,5.0,115.1,110.1,4.82,1997,Denver Nuggets*
3,42,30,.583,10.0,116.1,114.3,1.81,1997,Portland Trail Blazers*
4,23,49,.319,29.0,112.1,117.7,-5.25,1997,Minnesota Timberwolves
5,22,50,.306,30.0,105.0,115.6,-10.13,1997,Oklahoma City Thunder
6,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,1997,Pacific Division
7,51,21,.708,—,115.3,109.5,5.67,1997,Phoenix Suns*
8,47,25,.653,4.0,114.0,107.8,6.02,1997,Los Angeles Clippers*
9,42,30,.583,9.0,109.5,106.8,2.77,1997,Los Angeles Lakers*
10,39,33,.542,12.0,113.7,112.7,1.10,1997,Golden State Warriors
11,31,41,.431,20.0,113.7,117.4,-3.45,1997,Sacramento Kings
12,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,1997,Southwest Division
13,42,30,.583,—,112.4,110.2,2.26,1997,Dallas Mavericks*
14,38,34,.528,4.0,113.3,112.3,1.07,1997,Memphis Grizzlies*
15,33,39,.458,9.0,111.1,112.8,-1.58,1997,San Antonio Spurs
16,31,41,.431,11.0,114.6,114.9,-0.20,1997,New Orleans Pelicans
17,17,55,.236,25.0,108.8,116.7,-7.50,1997,Houston Rockets
0,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,1998,Atlantic Division
1,49,23,.681,—,113.6,108.1,5.28,1998,Philadelphia 76ers*
2,48,24,.667,1.0,118.6,114.1,4.24,1998,Brooklyn Nets*
3,41,31,.569,8.0,107.0,104.7,2.13,1998,New York Knicks*
4,36,36,.500,13.0,112.6,111.2,1.32,1998,Boston Celtics*
5,27,45,.375,22.0,111.3,111.7,-0.54,1998,Toronto Raptors
6,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,1998,Central Division
7,46,26,.639,—,120.1,114.2,5.57,1998,Milwaukee Bucks*
8,34,38,.472,12.0,115.3,115.3,-0.13,1998,Indiana Pacers
9,31,41,.431,15.0,110.7,111.6,-0.94,1998,Chicago Bulls
10,22,50,.306,24.0,103.8,112.3,-8.19,1998,Cleveland Cavaliers
11,20,52,.278,26.0,106.6,111.1,-4.38,1998,Detroit Pistons
12,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,1998,Southeast Division
13,41,31,.569,—,113.7,111.4,2.14,1998,Atlanta Hawks*
14,40,32,.556,1.0,108.1,108.0,-0.06,1998,Miami Heat*
15,34,38,.472,7.0,116.6,118.5,-1.85,1998,Washington Wizards*
16,33,39,.458,8.0,109.5,111.4,-1.94,1998,Charlotte Hornets
17,21,51,.292,20.0,104.0,113.3,-9.02,1998,Orlando Magic
0,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,1998,Northwest Division
1,52,20,.722,—,116.4,107.2,8.97,1998,Utah Jazz*
2,47,25,.653,5.0,115.1,110.1,4.82,1998,Denver Nuggets*
3,42,30,.583,10.0,116.1,114.3,1.81,1998,Portland Trail Blazers*
4,23,49,.319,29.0,112.1,117.7,-5.25,1998,Minnesota Timberwolves
5,22,50,.306,30.0,105.0,115.6,-10.13,1998,Oklahoma City Thunder
6,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,1998,Pacific Division
7,51,21,.708,—,115.3,109.5,5.67,1998,Phoenix Suns*
