,W,L,W/L%,GB,PS/G,PA/G,SRS,Year,Team
8,47,25,.653,4.0,114.0,107.8,6.02,1998,Los Angeles Clippers*
9,42,30,.583,9.0,109.5,106.8,2.77,1998,Los Angeles Lakers*
10,39,33,.542,12.0,113.7,112.7,1.10,1998,Golden State Warriors
11,31,41,.431,20.0,113.7,117.4,-3.45,1998,Sacramento Kings
12,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,1998,Southwest Division
13,42,30,.583,—,112.4,110.2,2.26,1998,Dallas Mavericks*
14,38,34,.528,4.0,113.3,112.3,1.07,1998,Memphis Grizzlies*
15,33,39,.458,9.0,111.1,112.8,-1.58,1998,San Antonio Spurs
16,31,41,.431,11.0,114.6,114.9,-0.20,1998,New Orleans Pelicans
17,17,55,.236,25.0,108.8,116.7,-7.50,1998,Houston Rockets
0,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,1999,Atlantic Division
1,49,23,.681,—,113.6,108.1,5.28,1999,Philadelphia 76ers*
2,48,24,.667,1.0,118.6,114.1,4.24,1999,Brooklyn Nets*
3,41,31,.569,8.0,107.0,104.7,2.13,1999,New York Knicks*
4,36,36,.500,13.0,112.6,111.2,1.32,1999,Boston Celtics*
5,27,45,.375,22.0,111.3,111.7,-0.54,1999,Toronto Raptors
6,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,1999,Central Division
7,46,26,.639,—,120.1,114.2,5.57,1999,Milwaukee Bucks*
8,34,38,.472,12.0,115.3,115.3,-0.13,1999,Indiana Pacers
9,31,41,.431,15.0,110.7,111.6,-0.94,1999,Chicago Bulls
10,22,50,.306,24.0,103.8,112.3,-8.19,1999,Cleveland Cavaliers
11,20,52,.278,26.0,106.6,111.1,-4.38,1999,Detroit Pistons
12,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,1999,Southeast Division
13,41,31,.569,—,113.7,111.4,2.14,1999,Atlanta Hawks*
14,40,32,.556,1.0,108.1,108.0,-0.06,1999,Miami Heat*
15,34,38,.472,7.0,116.6,118.5,-1.85,1999,Washington Wizards*
16,33,39,.458,8.0,109.5,111.4,-1.94,1999,Charlotte Hornets
17,21,51,.292,20.0,104.0,113.3,-9.02,1999,Orlando Magic
0,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,1999,Northwest Division
1,52,20,.722,—,116.4,107.2,8.97,1999,Utah Jazz*
2,47,25,.653,5.0,115.1,110.1,4.82,1999,Denver Nuggets*
3,42,30,.583,10.0,116.1,114.3,1.81,1999,Portland Trail Blazers*
4,23,49,.319,29.0,112.1,117.7,-5.25,1999,Minnesota Timberwolves
5,22,50,.306,30.0,105.0,115.6,-10.13,1999,Oklahoma City Thunder
6,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,1999,Pacific Division
7,51,21,.708,—,115.3,109.5,5.67,1999,Phoenix Suns*
8,47,25,.653,4.0,114.0,107.8,6.02,1999,Los Angeles Clippers*
9,42,30,.583,9.0,109.5,106.8,2.77,1999,Los Angeles Lakers*
10,39,33,.542,12.0,113.7,112.7,1.10,1999,Golden State Warriors
11,31,41,.431,20.0,113.7,117.4,-3.45,1999,Sacramento Kings
12,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,1999,Southwest Division
13,42,30,.583,—,112.4,110.2,2.26,1999,Dallas Mavericks*
14,38,34,.528,4.0,113.3,112.3,1.07,1999,Memphis Grizzlies*
15,33,39,.458,9.0,111.1,112.8,-1.58,1999,San Antonio Spurs
16,31,41,.431,11.0,114.6,114.9,-0.20,1999,New Orleans Pelicans
17,17,55,.236,25.0,108.8,116.7,-7.50,1999,Houston Rockets
0,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,2000,Atlantic Division
1,49,23,.681,—,113.6,108.1,5.28,2000,Philadelphia 76ers*
2,48,24,.667,1.0,118.6,114.1,4.24,2000,Brooklyn Nets*
3,41,31,.569,8.0,107.0,104.7,2.13,2000,New York Knicks*
4,36,36,.500,13.0,112.6,111.2,1.32,2000,Boston Celtics*
5,27,45,.375,22.0,111.3,111.7,-0.54,2000,Toronto Raptors
6,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2000,Central Division
7,46,26,.639,—,120.1,114.2,5.57,2000,Milwaukee Bucks*
8,34,38,.472,12.0,115.3,115.3,-0.13,2000,Indiana Pacers
9,31,41,.431,15.0,110.7,111.6,-0.94,2000,Chicago Bulls
10,22,50,.306,24.0,103.8,112.3,-8.19,2000,Cleveland Cavaliers
11,20,52,.278,26.0,106.6,111.1,-4.38,2000,Detroit Pistons
12,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,2000,Southeast Division
13,41,31,.569,—,113.7,111.4,2.14,2000,Atlanta Hawks*
14,40,32,.556,1.0,108.1,108.0,-0.06,2000,Miami Heat*
15,34,38,.472,7.0,116.6,118.5,-1.85,2000,Washington Wizards*
16,33,39,.458,8.0,109.5,111.4,-1.94,2000,Charlotte Hornets
17,21,51,.292,20.0,104.0,113.3,-9.02,2000,Orlando Magic
0,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2000,Northwest Division
1,52,20,.722,—,116.4,107.2,8.97,2000,Utah Jazz*
2,47,25,.653,5.0,115.1,110.1,4.82,2000,Denver Nuggets*
3,42,30,.583,10.0,116.1,114.3,1.81,2000,Portland Trail Blazers*
4,23,49,.319,29.0,112.1,117.7,-5.25,2000,Minnesota Timberwolves
5,22,50,.306,30.0,105.0,115.6,-10.13,2000,Oklahoma City Thunder
6,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2000,Pacific Division
7,51,21,.708,—,115.3,109.5,5.67,2000,Phoenix Suns*
8,47,25,.653,4.0,114.0,107.8,6.02,2000,Los Angeles Clippers*
9,42,30,.583,9.0,109.5,106.8,2.77,2000,Los Angeles Lakers*
10,39,33,.542,12.0,113.7,112.7,1.10,2000,Golden State Warriors
11,31,41,.431,20.0,113.7,117.4,-3.45,2000,Sacramento Kings
12,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2000,Southwest Division
13,42,30,.583,—,112.4,110.2,2.26,2000,Dallas Mavericks*
14,38,34,.528,4.0,113.3,112.3,1.07,2000,Memphis Grizzlies*
15,33,39,.458,9.0,111.1,112.8,-1.58,2000,San Antonio Spurs
16,31,41,.431,11.0,114.6,114.9,-0.20,2000,New Orleans Pelicans
17,17,55,.236,25.0,108.8,116.7,-7.50,2000,Houston Rockets
0,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,2001,Atlantic Division
1,49,23,.681,—,113.6,108.1,5.28,2001,Philadelphia 76ers*
2,48,24,.667,1.0,118.6,114.1,4.24,2001,Brooklyn Nets*
3,41,31,.569,8.0,107.0,104.7,2.13,2001,New York Knicks*
4,36,36,.500,13.0,112.6,111.2,1.32,2001,Boston Celtics*
5,27,45,.375,22.0,111.3,111.7,-0.54,2001,Toronto Raptors
6,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2001,Central Division
7,46,26,.639,—,120.1,114.2,5.57,2001,Milwaukee Bucks*
8,34,38,.472,12.0,115.3,115.3,-0.13,2001,Indiana Pacers
9,31,41,.431,15.0,110.7,111.6,-0.94,2001,Chicago Bulls
10,22,50,.306,24.0,103.8,112.3,-8.19,2001,Cleveland Cavaliers
11,20,52,.278,26.0,106.6,111.1,-4.38,2001,Detroit Pistons
12,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,2001,Southeast Division
13,41,31,.569,—,113.7,111.4,2.14,2001,Atlanta Hawks*
14,40,32,.556,1.0,108.1,108.0,-0.06,2001,Miami Heat*
15,34,38,.472,7.0,116.6,118.5,-1.85,2001,Washington Wizards*
16,33,39,.458,8.0,109.5,111.4,-1.94,2001,Charlotte Hornets
17,21,51,.292,20.0,104.0,113.3,-9.02,2001,Orlando Magic
0,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2001,Northwest Division
1,52,20,.722,—,116.4,107.2,8.97,2001,Utah Jazz*
2,47,25,.653,5.0,115.1,110.1,4.82,2001,Denver Nuggets*
3,42,30,.583,10.0,116.1,114.3,1.81,2001,Portland Trail Blazers*
4,23,49,.319,29.0,112.1,117.7,-5.25,2001,Minnesota Timberwolves
5,22,50,.306,30.0,105.0,115.6,-10.13,2001,Oklahoma City Thunder
6,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2001,Pacific Division
7,51,21,.708,—,115.3,109.5,5.67,2001,Phoenix Suns*
8,47,25,.653,4.0,114.0,107.8,6.02,2001,Los Angeles Clippers*
9,42,30,.583,9.0,109.5,106.8,2.77,2001,Los Angeles Lakers*
10,39,33,.542,12.0,113.7,112.7,1.10,2001,Golden State Warriors
11,31,41,.431,20.0,113.7,117.4,-3.45,2001,Sacramento Kings
12,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2001,Southwest Division
13,42,30,.583,—,112.4,110.2,2.26,2001,Dallas Mavericks*
14,38,34,.528,4.0,113.3,112.3,1.07,2001,Memphis Grizzlies*
15,33,39,.458,9.0,111.1,112.8,-1.58,2001,San Antonio Spurs
16,31,41,.431,11.0,114.6,114.9,-0.20,2001,New Orleans Pelicans
17,17,55,.236,25.0,108.8,116.7,-7.50,2001,Houston Rockets
0,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,2002,Atlantic Division
1,49,23,.681,—,113.6,108.1,5.28,2002,Philadelphia 76ers*
2,48,24,.667,1.0,118.6,114.1,4.24,2002,Brooklyn Nets*
3,41,31,.569,8.0,107.0,104.7,2.13,2002,New York Knicks*
4,36,36,.500,13.0,112.6,111.2,1.32,2002,Boston Celtics*
5,27,45,.375,22.0,111.3,111.7,-0.54,2002,Toronto Raptors
6,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2002,Central Division
7,46,26,.639,—,120.1,114.2,5.57,2002,Milwaukee Bucks*
8,34,38,.472,12.0,115.3,115.3,-0.13,2002,Indiana Pacers
9,31,41,.431,15.0,110.7,111.6,-0.94,2002,Chicago Bulls
10,22,50,.306,24.0,103.8,112.3,-8.19,2002,Cleveland Cavaliers
11,20,52,.278,26.0,106.6,111.1,-4.38,2002,Detroit Pistons
12,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,2002,Southeast Division
13,41,31,.569,—,113.7,111.4,2.14,2002,Atlanta Hawks*
14,40,32,.556,1.0,108.1,108.0,-0.06,2002,Miami Heat*
15,34,38,.472,7.0,116.6,118.5,-1.85,2002,Washington Wizards*
16,33,39,.458,8.0,109.5,111.4,-1.94,2002,Charlotte Hornets
17,21,51,.292,20.0,104.0,113.3,-9.02,2002,Orlando Magic
0,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2002,Northwest Division
1,52,20,.722,—,116.4,107.2,8.97,2002,Utah Jazz*
2,47,25,.653,5.0,115.1,110.1,4.82,2002,Denver Nuggets*
3,42,30,.583,10.0,116.1,114.3,1.81,2002,Portland Trail Blazers*
4,23,49,.319,29.0,112.1,117.7,-5.25,2002,Minnesota Timberwolves
5,22,50,.306,30.0,105.0,115.6,-10.13,2002,Oklahoma City Thunder
6,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2002,Pacific Division
7,51,21,.708,—,115.3,109.5,5.67,2002,Phoenix Suns*
8,47,25,.653,4.0,114.0,107.8,6.02,2002,Los Angeles Clippers*
9,42,30,.583,9.0,109.5,106.8,2.77,2002,Los Angeles Lakers*
10,39,33,.542,12.0,113.7,112.7,1.10,2002,Golden State Warriors
11,31,41,.431,20.0,113.7,117.4,-3.45,2002,Sacramento Kings
12,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2002,Southwest Division
13,42,30,.583,—,112.4,110.2,2.26,2002,Dallas Mavericks*
14,38,34,.528,4.0,113.3,112.3,1.07,2002,Memphis Grizzlies*
15,33,39,.458,9.0,111.1,112.8,-1.58,2002,San Antonio Spurs
16,31,41,.431,11.0,114.6,114.9,-0.20,2002,New Orleans Pelicans
17,17,55,.236,25.0,108.8,116.7,-7.50,2002,Houston Rockets
0,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,2003,Atlantic Division
1,49,23,.681,—,113.6,108.1,5.28,2003,Philadelphia 76ers*
2,48,24,.667,1.0,118.6,114.1,4.24,2003,Brooklyn Nets*
3,41,31,.569,8.0,107.0,104.7,2.13,2003,New York Knicks*
4,36,36,.500,13.0,112.6,111.2,1.32,2003,Boston Celtics*
5,27,45,.375,22.0,111.3,111.7,-0.54,2003,Toronto Raptors
6,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2003,Central Division
7,46,26,.639,—,120.1,114.2,5.57,2003,Milwaukee Bucks*
8,34,38,.472,12.0,115.3,115.3,-0.13,2003,Indiana Pacers
9,31,41,.431,15.0,110.7,111.6,-0.94,2003,Chicago Bulls
10,22,50,.306,24.0,103.8,112.3,-8.19,2003,Cleveland Cavaliers
11,20,52,.278,26.0,106.6,111.1,-4.38,2003,Detroit Pistons
12,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,2003,Southeast Division
13,41,31,.569,—,113.7,111.4,2.14,2003,Atlanta Hawks*
14,40,32,.556,1.0,108.1,108.0,-0.06,2003,Miami Heat*
15,34,38,.472,7.0,116.6,118.5,-1.85,2003,Washington Wizards*
16,33,39,.458,8.0,109.5,111.4,-1.94,2003,Charlotte Hornets
17,21,51,.292,20.0,104.0,113.3,-9.02,2003,Orlando Magic
0,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2003,Northwest Division
1,52,20,.722,—,116.4,107.2,8.97,2003,Utah Jazz*
2,47,25,.653,5.0,115.1,110.1,4.82,2003,Denver Nuggets*
3,42,30,.583,10.0,116.1,114.3,1.81,2003,Portland Trail Blazers*
4,23,49,.319,29.0,112.1,117.7,-5.25,2003,Minnesota Timberwolves
5,22,50,.306,30.0,105.0,115.6,-10.13,2003,Oklahoma City Thunder
6,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2003,Pacific Division
7,51,21,.708,—,115.3,109.5,5.67,2003,Phoenix Suns*
8,47,25,.653,4.0,114.0,107.8,6.02,2003,Los Angeles Clippers*
9,42,30,.583,9.0,109.5,106.8,2.77,2003,Los Angeles Lakers*
10,39,33,.542,12.0,113.7,112.7,1.10,2003,Golden State Warriors
11,31,41,.431,20.0,113.7,117.4,-3.45,2003,Sacramento Kings
12,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2003,Southwest Division
13,42,30,.583,—,112.4,110.2,2.26,2003,Dallas Mavericks*
14,38,34,.528,4.0,113.3,112.3,1.07,2003,Memphis Grizzlies*
15,33,39,.458,9.0,111.1,112.8,-1.58,2003,San Antonio Spurs
16,31,41,.431,11.0,114.6,114.9,-0.20,2003,New Orleans Pelicans
17,17,55,.236,25.0,108.8,116.7,-7.50,2003,Houston Rockets
0,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,2004,Atlantic Division
1,49,23,.681,—,113.6,108.1,5.28,2004,Philadelphia 76ers*
2,48,24,.667,1.0,118.6,114.1,4.24,2004,Brooklyn Nets*
3,41,31,.569,8.0,107.0,104.7,2.13,2004,New York Knicks*
4,36,36,.500,13.0,112.6,111.2,1.32,2004,Boston Celtics*
5,27,45,.375,22.0,111.3,111.7,-0.54,2004,Toronto Raptors
6,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2004,Central Division
7,46,26,.639,—,120.1,114.2,5.57,2004,Milwaukee Bucks*
8,34,38,.472,12.0,115.3,115.3,-0.13,2004,Indiana Pacers
9,31,41,.431,15.0,110.7,111.6,-0.94,2004,Chicago Bulls
10,22,50,.306,24.0,103.8,112.3,-8.19,2004,Cleveland Cavaliers
11,20,52,.278,26.0,106.6,111.1,-4.38,2004,Detroit Pistons
12,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,2004,Southeast Division
13,41,31,.569,—,113.7,111.4,2.14,2004,Atlanta Hawks*
14,40,32,.556,1.0,108.1,108.0,-0.06,2004,Miami Heat*
15,34,38,.472,7.0,116.6,118.5,-1.85,2004,Washington Wizards*
16,33,39,.458,8.0,109.5,111.4,-1.94,2004,Charlotte Hornets
17,21,51,.292,20.0,104.0,113.3,-9.02,2004,Orlando Magic
0,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2004,Northwest Division
1,52,20,.722,—,116.4,107.2,8.97,2004,Utah Jazz*
2,47,25,.653,5.0,115.1,110.1,4.82,2004,Denver Nuggets*
3,42,30,.583,10.0,116.1,114.3,1.81,2004,Portland Trail Blazers*
4,23,49,.319,29.0,112.1,117.7,-5.25,2004,Minnesota Timberwolves
5,22,50,.306,30.0,105.0,115.6,-10.13,2004,Oklahoma City Thunder
6,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2004,Pacific Division
7,51,21,.708,—,115.3,109.5,5.67,2004,Phoenix Suns*
8,47,25,.653,4.0,114.0,107.8,6.02,2004,Los Angeles Clippers*
9,42,30,.583,9.0,109.5,106.8,2.77,2004,Los Angeles Lakers*
10,39,33,.542,12.0,113.7,112.7,1.10,2004,Golden State Warriors
11,31,41,.431,20.0,113.7,117.4,-3.45,2004,Sacramento Kings
12,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2004,Southwest Division
13,42,30,.583,—,112.4,110.2,2.26,2004,Dallas Mavericks*
14,38,34,.528,4.0,113.3,112.3,1.07,2004,Memphis Grizzlies*
15,33,39,.458,9.0,111.1,112.8,-1.58,2004,San Antonio Spurs
16,31,41,.431,11.0,114.6,114.9,-0.20,2004,New Orleans Pelicans
17,17,55,.236,25.0,108.8,116.7,-7.50,2004,Houston Rockets
0,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,2005,Atlantic Division
1,49,23,.681,—,113.6,108.1,5.28,2005,Philadelphia 76ers*
2,48,24,.667,1.0,118.6,114.1,4.24,2005,Brooklyn Nets*
3,41,31,.569,8.0,107.0,104.7,2.13,2005,New York Knicks*
4,36,36,.500,13.0,112.6,111.2,1.32,2005,Boston Celtics*
5,27,45,.375,22.0,111.3,111.7,-0.54,2005,Toronto Raptors
6,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2005,Central Division
7,46,26,.639,—,120.1,114.2,5.57,2005,Milwaukee Bucks*
8,34,38,.472,12.0,115.3,115.3,-0.13,2005,Indiana Pacers
9,31,41,.431,15.0,110.7,111.6,-0.94,2005,Chicago Bulls
10,22,50,.306,24.0,103.8,112.3,-8.19,2005,Cleveland Cavaliers
11,20,52,.278,26.0,106.6,111.1,-4.38,2005,Detroit Pistons
12,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,2005,Southeast Division
13,41,31,.569,—,113.7,111.4,2.14,2005,Atlanta Hawks*
14,40,32,.556,1.0,108.1,108.0,-0.06,2005,Miami Heat*
15,34,38,.472,7.0,116.6,118.5,-1.85,2005,Washington Wizards*
16,33,39,.458,8.0,109.5,111.4,-1.94,2005,Charlotte Hornets
17,21,51,.292,20.0,104.0,113.3,-9.02,2005,Orlando Magic
0,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2005,Northwest Division
1,52,20,.722,—,116.4,107.2,8.97,2005,Utah Jazz*
2,47,25,.653,5.0,115.1,110.1,4.82,2005,Denver Nuggets*
3,42,30,.583,10.0,116.1,114.3,1.81,2005,Portland Trail Blazers*
4,23,49,.319,29.0,112.1,117.7,-5.25,2005,Minnesota Timberwolves
5,22,50,.306,30.0,105.0,115.6,-10.13,2005,Oklahoma City Thunder
6,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2005,Pacific Division
7,51,21,.708,—,115.3,109.5,5.67,2005,Phoenix Suns*
8,47,25,.653,4.0,114.0,107.8,6.02,2005,Los Angeles Clippers*
9,42,30,.583,9.0,109.5,106.8,2.77,2005,Los Angeles Lakers*
10,39,33,.542,12.0,113.7,112.7,1.10,2005,Golden State Warriors
11,31,41,.431,20.0,113.7,117.4,-3.45,2005,Sacramento Kings
12,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2005,Southwest Division
13,42,30,.583,—,112.4,110.2,2.26,2005,Dallas Mavericks*
14,38,34,.528,4.0,113.3,112.3,1.07,2005,Memphis Grizzlies*
15,33,39,.458,9.0,111.1,112.8,-1.58,2005,San Antonio Spurs
16,31,41,.431,11.0,114.6,114.9,-0.20,2005,New Orleans Pelicans
17,17,55,.236,25.0,108.8,116.7,-7.50,2005,Houston Rockets
0,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,2006,Atlantic Division
1,49,23,.681,—,113.6,108.1,5.28,2006,Philadelphia 76ers*
2,48,24,.667,1.0,118.6,114.1,4.24,2006,Brooklyn Nets*
3,41,31,.569,8.0,107.0,104.7,2.13,2006,New York Knicks*
4,36,36,.500,13.0,112.6,111.2,1.32,2006,Boston Celtics*
5,27,45,.375,22.0,111.3,111.7,-0.54,2006,Toronto Raptors
6,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2006,Central Division
7,46,26,.639,—,120.1,114.2,5.57,2006,Milwaukee Bucks*
8,34,38,.472,12.0,115.3,115.3,-0.13,2006,Indiana Pacers
9,31,41,.431,15.0,110.7,111.6,-0.94,2006,Chicago Bulls
10,22,50,.306,24.0,103.8,112.3,-8.19,2006,Cleveland Cavaliers
11,20,52,.278,26.0,106.6,111.1,-4.38,2006,Detroit Pistons
12,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,2006,Southeast Division
13,41,31,.569,—,113.7,111.4,2.14,2006,Atlanta Hawks*
14,40,32,.556,1.0,108.1,108.0,-0.06,2006,Miami Heat*
15,34,38,.472,7.0,116.6,118.5,-1.85,2006,Washington Wizards*
16,33,39,.458,8.0,109.5,111.4,-1.94,2006,Charlotte Hornets
