,W,L,W/L%,GB,PS/G,PA/G,SRS,Year,Team
17,21,51,.292,20.0,104.0,113.3,-9.02,2006,Orlando Magic
0,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2006,Northwest Division
1,52,20,.722,—,116.4,107.2,8.97,2006,Utah Jazz*
2,47,25,.653,5.0,115.1,110.1,4.82,2006,Denver Nuggets*
3,42,30,.583,10.0,116.1,114.3,1.81,2006,Portland Trail Blazers*
4,23,49,.319,29.0,112.1,117.7,-5.25,2006,Minnesota Timberwolves
5,22,50,.306,30.0,105.0,115.6,-10.13,2006,Oklahoma City Thunder
6,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2006,Pacific Division
7,51,21,.708,—,115.3,109.5,5.67,2006,Phoenix Suns*
8,47,25,.653,4.0,114.0,107.8,6.02,2006,Los Angeles Clippers*
9,42,30,.583,9.0,109.5,106.8,2.77,2006,Los Angeles Lakers*
10,39,33,.542,12.0,113.7,112.7,1.10,2006,Golden State Warriors
11,31,41,.431,20.0,113.7,117.4,-3.45,2006,Sacramento Kings
12,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2006,Southwest Division
13,42,30,.583,—,112.4,110.2,2.26,2006,Dallas Mavericks*
14,38,34,.528,4.0,113.3,112.3,1.07,2006,Memphis Grizzlies*
15,33,39,.458,9.0,111.1,112.8,-1.58,2006,San Antonio Spurs
16,31,41,.431,11.0,114.6,114.9,-0.20,2006,New Orleans Pelicans
17,17,55,.236,25.0,108.8,116.7,-7.50,2006,Houston Rockets
0,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,2007,Atlantic Division
1,49,23,.681,—,113.6,108.1,5.28,2007,Philadelphia 76ers*
2,48,24,.667,1.0,118.6,114.1,4.24,2007,Brooklyn Nets*
3,41,31,.569,8.0,107.0,104.7,2.13,2007,New York Knicks*
4,36,36,.500,13.0,112.6,111.2,1.32,2007,Boston Celtics*
5,27,45,.375,22.0,111.3,111.7,-0.54,2007,Toronto Raptors
6,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2007,Central Division
7,46,26,.639,—,120.1,114.2,5.57,2007,Milwaukee Bucks*
8,34,38,.472,12.0,115.3,115.3,-0.13,2007,Indiana Pacers
9,31,41,.431,15.0,110.7,111.6,-0.94,2007,Chicago Bulls
10,22,50,.306,24.0,103.8,112.3,-8.19,2007,Cleveland Cavaliers
11,20,52,.278,26.0,106.6,111.1,-4.38,2007,Detroit Pistons
12,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,2007,Southeast Division
13,41,31,.569,—,113.7,111.4,2.14,2007,Atlanta Hawks*
14,40,32,.556,1.0,108.1,108.0,-0.06,2007,Miami Heat*
15,34,38,.472,7.0,116.6,118.5,-1.85,2007,Washington Wizards*
16,33,39,.458,8.0,109.5,111.4,-1.94,2007,Charlotte Hornets
17,21,51,.292,20.0,104.0,113.3,-9.02,2007,Orlando Magic
0,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2007,Northwest Division
1,52,20,.722,—,116.4,107.2,8.97,2007,Utah Jazz*
2,47,25,.653,5.0,115.1,110.1,4.82,2007,Denver Nuggets*
3,42,30,.583,10.0,116.1,114.3,1.81,2007,Portland Trail Blazers*
4,23,49,.319,29.0,112.1,117.7,-5.25,2007,Minnesota Timberwolves
5,22,50,.306,30.0,105.0,115.6,-10.13,2007,Oklahoma City Thunder
6,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2007,Pacific Division
7,51,21,.708,—,115.3,109.5,5.67,2007,Phoenix Suns*
8,47,25,.653,4.0,114.0,107.8,6.02,2007,Los Angeles Clippers*
9,42,30,.583,9.0,109.5,106.8,2.77,2007,Los Angeles Lakers*
10,39,33,.542,12.0,113.7,112.7,1.10,2007,Golden State Warriors
11,31,41,.431,20.0,113.7,117.4,-3.45,2007,Sacramento Kings
12,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2007,Southwest Division
13,42,30,.583,—,112.4,110.2,2.26,2007,Dallas Mavericks*
14,38,34,.528,4.0,113.3,112.3,1.07,2007,Memphis Grizzlies*
15,33,39,.458,9.0,111.1,112.8,-1.58,2007,San Antonio Spurs
16,31,41,.431,11.0,114.6,114.9,-0.20,2007,New Orleans Pelicans
17,17,55,.236,25.0,108.8,116.7,-7.50,2007,Houston Rockets
0,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,2008,Atlantic Division
1,49,23,.681,—,113.6,108.1,5.28,2008,Philadelphia 76ers*
2,48,24,.667,1.0,118.6,114.1,4.24,2008,Brooklyn Nets*
3,41,31,.569,8.0,107.0,104.7,2.13,2008,New York Knicks*
4,36,36,.500,13.0,112.6,111.2,1.32,2008,Boston Celtics*
5,27,45,.375,22.0,111.3,111.7,-0.54,2008,Toronto Raptors
6,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2008,Central Division
7,46,26,.639,—,120.1,114.2,5.57,2008,Milwaukee Bucks*
8,34,38,.472,12.0,115.3,115.3,-0.13,2008,Indiana Pacers
9,31,41,.431,15.0,110.7,111.6,-0.94,2008,Chicago Bulls
10,22,50,.306,24.0,103.8,112.3,-8.19,2008,Cleveland Cavaliers
11,20,52,.278,26.0,106.6,111.1,-4.38,2008,Detroit Pistons
12,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,2008,Southeast Division
13,41,31,.569,—,113.7,111.4,2.14,2008,Atlanta Hawks*
14,40,32,.556,1.0,108.1,108.0,-0.06,2008,Miami Heat*
15,34,38,.472,7.0,116.6,118.5,-1.85,2008,Washington Wizards*
16,33,39,.458,8.0,109.5,111.4,-1.94,2008,Charlotte Hornets
17,21,51,.292,20.0,104.0,113.3,-9.02,2008,Orlando Magic
0,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2008,Northwest Division
1,52,20,.722,—,116.4,107.2,8.97,2008,Utah Jazz*
2,47,25,.653,5.0,115.1,110.1,4.82,2008,Denver Nuggets*
3,42,30,.583,10.0,116.1,114.3,1.81,2008,Portland Trail Blazers*
4,23,49,.319,29.0,112.1,117.7,-5.25,2008,Minnesota Timberwolves
5,22,50,.306,30.0,105.0,115.6,-10.13,2008,Oklahoma City Thunder
6,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2008,Pacific Division
7,51,21,.708,—,115.3,109.5,5.67,2008,Phoenix Suns*
8,47,25,.653,4.0,114.0,107.8,6.02,2008,Los Angeles Clippers*
9,42,30,.583,9.0,109.5,106.8,2.77,2008,Los Angeles Lakers*
10,39,33,.542,12.0,113.7,112.7,1.10,2008,Golden State Warriors
11,31,41,.431,20.0,113.7,117.4,-3.45,2008,Sacramento Kings
12,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2008,Southwest Division
13,42,30,.583,—,112.4,110.2,2.26,2008,Dallas Mavericks*
14,38,34,.528,4.0,113.3,112.3,1.07,2008,Memphis Grizzlies*
15,33,39,.458,9.0,111.1,112.8,-1.58,2008,San Antonio Spurs
16,31,41,.431,11.0,114.6,114.9,-0.20,2008,New Orleans Pelicans
17,17,55,.236,25.0,108.8,116.7,-7.50,2008,Houston Rockets
0,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,2009,Atlantic Division
1,49,23,.681,—,113.6,108.1,5.28,2009,Philadelphia 76ers*
2,48,24,.667,1.0,118.6,114.1,4.24,2009,Brooklyn Nets*
3,41,31,.569,8.0,107.0,104.7,2.13,2009,New York Knicks*
4,36,36,.500,13.0,112.6,111.2,1.32,2009,Boston Celtics*
5,27,45,.375,22.0,111.3,111.7,-0.54,2009,Toronto Raptors
6,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2009,Central Division
7,46,26,.639,—,120.1,114.2,5.57,2009,Milwaukee Bucks*
8,34,38,.472,12.0,115.3,115.3,-0.13,2009,Indiana Pacers
9,31,41,.431,15.0,110.7,111.6,-0.94,2009,Chicago Bulls
10,22,50,.306,24.0,103.8,112.3,-8.19,2009,Cleveland Cavaliers
11,20,52,.278,26.0,106.6,111.1,-4.38,2009,Detroit Pistons
12,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,2009,Southeast Division
13,41,31,.569,—,113.7,111.4,2.14,2009,Atlanta Hawks*
14,40,32,.556,1.0,108.1,108.0,-0.06,2009,Miami Heat*
15,34,38,.472,7.0,116.6,118.5,-1.85,2009,Washington Wizards*
16,33,39,.458,8.0,109.5,111.4,-1.94,2009,Charlotte Hornets
17,21,51,.292,20.0,104.0,113.3,-9.02,2009,Orlando Magic
0,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2009,Northwest Division
1,52,20,.722,—,116.4,107.2,8.97,2009,Utah Jazz*
2,47,25,.653,5.0,115.1,110.1,4.82,2009,Denver Nuggets*
3,42,30,.583,10.0,116.1,114.3,1.81,2009,Portland Trail Blazers*
4,23,49,.319,29.0,112.1,117.7,-5.25,2009,Minnesota Timberwolves
5,22,50,.306,30.0,105.0,115.6,-10.13,2009,Oklahoma City Thunder
6,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2009,Pacific Division
7,51,21,.708,—,115.3,109.5,5.67,2009,Phoenix Suns*
8,47,25,.653,4.0,114.0,107.8,6.02,2009,Los Angeles Clippers*
9,42,30,.583,9.0,109.5,106.8,2.77,2009,Los Angeles Lakers*
10,39,33,.542,12.0,113.7,112.7,1.10,2009,Golden State Warriors
11,31,41,.431,20.0,113.7,117.4,-3.45,2009,Sacramento Kings
12,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2009,Southwest Division
13,42,30,.583,—,112.4,110.2,2.26,2009,Dallas Mavericks*
14,38,34,.528,4.0,113.3,112.3,1.07,2009,Memphis Grizzlies*
15,33,39,.458,9.0,111.1,112.8,-1.58,2009,San Antonio Spurs
16,31,41,.431,11.0,114.6,114.9,-0.20,2009,New Orleans Pelicans
17,17,55,.236,25.0,108.8,116.7,-7.50,2009,Houston Rockets
0,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,2010,Atlantic Division
1,49,23,.681,—,113.6,108.1,5.28,2010,Philadelphia 76ers*
2,48,24,.667,1.0,118.6,114.1,4.24,2010,Brooklyn Nets*
3,41,31,.569,8.0,107.0,104.7,2.13,2010,New York Knicks*
4,36,36,.500,13.0,112.6,111.2,1.32,2010,Boston Celtics*
5,27,45,.375,22.0,111.3,111.7,-0.54,2010,Toronto Raptors
6,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2010,Central Division
7,46,26,.639,—,120.1,114.2,5.57,2010,Milwaukee Bucks*
8,34,38,.472,12.0,115.3,115.3,-0.13,2010,Indiana Pacers
9,31,41,.431,15.0,110.7,111.6,-0.94,2010,Chicago Bulls
10,22,50,.306,24.0,103.8,112.3,-8.19,2010,Cleveland Cavaliers
11,20,52,.278,26.0,106.6,111.1,-4.38,2010,Detroit Pistons
12,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,2010,Southeast Division
13,41,31,.569,—,113.7,111.4,2.14,2010,Atlanta Hawks*
14,40,32,.556,1.0,108.1,108.0,-0.06,2010,Miami Heat*
15,34,38,.472,7.0,116.6,118.5,-1.85,2010,Washington Wizards*
16,33,39,.458,8.0,109.5,111.4,-1.94,2010,Charlotte Hornets
17,21,51,.292,20.0,104.0,113.3,-9.02,2010,Orlando Magic
0,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2010,Northwest Division
1,52,20,.722,—,116.4,107.2,8.97,2010,Utah Jazz*
2,47,25,.653,5.0,115.1,110.1,4.82,2010,Denver Nuggets*
3,42,30,.583,10.0,116.1,114.3,1.81,2010,Portland Trail Blazers*
4,23,49,.319,29.0,112.1,117.7,-5.25,2010,Minnesota Timberwolves
5,22,50,.306,30.0,105.0,115.6,-10.13,2010,Oklahoma City Thunder
6,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2010,Pacific Division
7,51,21,.708,—,115.3,109.5,5.67,2010,Phoenix Suns*
8,47,25,.653,4.0,114.0,107.8,6.02,2010,Los Angeles Clippers*
9,42,30,.583,9.0,109.5,106.8,2.77,2010,Los Angeles Lakers*
10,39,33,.542,12.0,113.7,112.7,1.10,2010,Golden State Warriors
11,31,41,.431,20.0,113.7,117.4,-3.45,2010,Sacramento Kings
12,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2010,Southwest Division
13,42,30,.583,—,112.4,110.2,2.26,2010,Dallas Mavericks*
14,38,34,.528,4.0,113.3,112.3,1.07,2010,Memphis Grizzlies*
15,33,39,.458,9.0,111.1,112.8,-1.58,2010,San Antonio Spurs
16,31,41,.431,11.0,114.6,114.9,-0.20,2010,New Orleans Pelicans
17,17,55,.236,25.0,108.8,116.7,-7.50,2010,Houston Rockets
0,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,2011,Atlantic Division
1,49,23,.681,—,113.6,108.1,5.28,2011,Philadelphia 76ers*
2,48,24,.667,1.0,118.6,114.1,4.24,2011,Brooklyn Nets*
3,41,31,.569,8.0,107.0,104.7,2.13,2011,New York Knicks*
4,36,36,.500,13.0,112.6,111.2,1.32,2011,Boston Celtics*
5,27,45,.375,22.0,111.3,111.7,-0.54,2011,Toronto Raptors
6,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2011,Central Division
7,46,26,.639,—,120.1,114.2,5.57,2011,Milwaukee Bucks*
8,34,38,.472,12.0,115.3,115.3,-0.13,2011,Indiana Pacers
9,31,41,.431,15.0,110.7,111.6,-0.94,2011,Chicago Bulls
10,22,50,.306,24.0,103.8,112.3,-8.19,2011,Cleveland Cavaliers
11,20,52,.278,26.0,106.6,111.1,-4.38,2011,Detroit Pistons
12,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,2011,Southeast Division
13,41,31,.569,—,113.7,111.4,2.14,2011,Atlanta Hawks*
14,40,32,.556,1.0,108.1,108.0,-0.06,2011,Miami Heat*
15,34,38,.472,7.0,116.6,118.5,-1.85,2011,Washington Wizards*
16,33,39,.458,8.0,109.5,111.4,-1.94,2011,Charlotte Hornets
17,21,51,.292,20.0,104.0,113.3,-9.02,2011,Orlando Magic
0,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2011,Northwest Division
1,52,20,.722,—,116.4,107.2,8.97,2011,Utah Jazz*
2,47,25,.653,5.0,115.1,110.1,4.82,2011,Denver Nuggets*
3,42,30,.583,10.0,116.1,114.3,1.81,2011,Portland Trail Blazers*
4,23,49,.319,29.0,112.1,117.7,-5.25,2011,Minnesota Timberwolves
5,22,50,.306,30.0,105.0,115.6,-10.13,2011,Oklahoma City Thunder
6,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2011,Pacific Division
7,51,21,.708,—,115.3,109.5,5.67,2011,Phoenix Suns*
8,47,25,.653,4.0,114.0,107.8,6.02,2011,Los Angeles Clippers*
9,42,30,.583,9.0,109.5,106.8,2.77,2011,Los Angeles Lakers*
10,39,33,.542,12.0,113.7,112.7,1.10,2011,Golden State Warriors
11,31,41,.431,20.0,113.7,117.4,-3.45,2011,Sacramento Kings
12,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2011,Southwest Division
13,42,30,.583,—,112.4,110.2,2.26,2011,Dallas Mavericks*
14,38,34,.528,4.0,113.3,112.3,1.07,2011,Memphis Grizzlies*
15,33,39,.458,9.0,111.1,112.8,-1.58,2011,San Antonio Spurs
16,31,41,.431,11.0,114.6,114.9,-0.20,2011,New Orleans Pelicans
17,17,55,.236,25.0,108.8,116.7,-7.50,2011,Houston Rockets
0,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,2012,Atlantic Division
1,49,23,.681,—,113.6,108.1,5.28,2012,Philadelphia 76ers*
2,48,24,.667,1.0,118.6,114.1,4.24,2012,Brooklyn Nets*
3,41,31,.569,8.0,107.0,104.7,2.13,2012,New York Knicks*
4,36,36,.500,13.0,112.6,111.2,1.32,2012,Boston Celtics*
5,27,45,.375,22.0,111.3,111.7,-0.54,2012,Toronto Raptors
6,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2012,Central Division
7,46,26,.639,—,120.1,114.2,5.57,2012,Milwaukee Bucks*
8,34,38,.472,12.0,115.3,115.3,-0.13,2012,Indiana Pacers
9,31,41,.431,15.0,110.7,111.6,-0.94,2012,Chicago Bulls
10,22,50,.306,24.0,103.8,112.3,-8.19,2012,Cleveland Cavaliers
11,20,52,.278,26.0,106.6,111.1,-4.38,2012,Detroit Pistons
12,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,2012,Southeast Division
13,41,31,.569,—,113.7,111.4,2.14,2012,Atlanta Hawks*
14,40,32,.556,1.0,108.1,108.0,-0.06,2012,Miami Heat*
15,34,38,.472,7.0,116.6,118.5,-1.85,2012,Washington Wizards*
16,33,39,.458,8.0,109.5,111.4,-1.94,2012,Charlotte Hornets
17,21,51,.292,20.0,104.0,113.3,-9.02,2012,Orlando Magic
0,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2012,Northwest Division
1,52,20,.722,—,116.4,107.2,8.97,2012,Utah Jazz*
2,47,25,.653,5.0,115.1,110.1,4.82,2012,Denver Nuggets*
3,42,30,.583,10.0,116.1,114.3,1.81,2012,Portland Trail Blazers*
4,23,49,.319,29.0,112.1,117.7,-5.25,2012,Minnesota Timberwolves
5,22,50,.306,30.0,105.0,115.6,-10.13,2012,Oklahoma City Thunder
6,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2012,Pacific Division
7,51,21,.708,—,115.3,109.5,5.67,2012,Phoenix Suns*
8,47,25,.653,4.0,114.0,107.8,6.02,2012,Los Angeles Clippers*
9,42,30,.583,9.0,109.5,106.8,2.77,2012,Los Angeles Lakers*
10,39,33,.542,12.0,113.7,112.7,1.10,2012,Golden State Warriors
11,31,41,.431,20.0,113.7,117.4,-3.45,2012,Sacramento Kings
12,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2012,Southwest Division
13,42,30,.583,—,112.4,110.2,2.26,2012,Dallas Mavericks*
14,38,34,.528,4.0,113.3,112.3,1.07,2012,Memphis Grizzlies*
15,33,39,.458,9.0,111.1,112.8,-1.58,2012,San Antonio Spurs
16,31,41,.431,11.0,114.6,114.9,-0.20,2012,New Orleans Pelicans
17,17,55,.236,25.0,108.8,116.7,-7.50,2012,Houston Rockets
0,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,2013,Atlantic Division
1,49,23,.681,—,113.6,108.1,5.28,2013,Philadelphia 76ers*
2,48,24,.667,1.0,118.6,114.1,4.24,2013,Brooklyn Nets*
3,41,31,.569,8.0,107.0,104.7,2.13,2013,New York Knicks*
4,36,36,.500,13.0,112.6,111.2,1.32,2013,Boston Celtics*
5,27,45,.375,22.0,111.3,111.7,-0.54,2013,Toronto Raptors
6,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2013,Central Division
7,46,26,.639,—,120.1,114.2,5.57,2013,Milwaukee Bucks*
8,34,38,.472,12.0,115.3,115.3,-0.13,2013,Indiana Pacers
9,31,41,.431,15.0,110.7,111.6,-0.94,2013,Chicago Bulls
10,22,50,.306,24.0,103.8,112.3,-8.19,2013,Cleveland Cavaliers
11,20,52,.278,26.0,106.6,111.1,-4.38,2013,Detroit Pistons
12,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,2013,Southeast Division
13,41,31,.569,—,113.7,111.4,2.14,2013,Atlanta Hawks*
14,40,32,.556,1.0,108.1,108.0,-0.06,2013,Miami Heat*
15,34,38,.472,7.0,116.6,118.5,-1.85,2013,Washington Wizards*
16,33,39,.458,8.0,109.5,111.4,-1.94,2013,Charlotte Hornets
17,21,51,.292,20.0,104.0,113.3,-9.02,2013,Orlando Magic
0,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2013,Northwest Division
1,52,20,.722,—,116.4,107.2,8.97,2013,Utah Jazz*
2,47,25,.653,5.0,115.1,110.1,4.82,2013,Denver Nuggets*
3,42,30,.583,10.0,116.1,114.3,1.81,2013,Portland Trail Blazers*
4,23,49,.319,29.0,112.1,117.7,-5.25,2013,Minnesota Timberwolves
5,22,50,.306,30.0,105.0,115.6,-10.13,2013,Oklahoma City Thunder
6,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2013,Pacific Division
7,51,21,.708,—,115.3,109.5,5.67,2013,Phoenix Suns*
8,47,25,.653,4.0,114.0,107.8,6.02,2013,Los Angeles Clippers*
9,42,30,.583,9.0,109.5,106.8,2.77,2013,Los Angeles Lakers*
10,39,33,.542,12.0,113.7,112.7,1.10,2013,Golden State Warriors
11,31,41,.431,20.0,113.7,117.4,-3.45,2013,Sacramento Kings
12,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2013,Southwest Division
13,42,30,.583,—,112.4,110.2,2.26,2013,Dallas Mavericks*
14,38,34,.528,4.0,113.3,112.3,1.07,2013,Memphis Grizzlies*
15,33,39,.458,9.0,111.1,112.8,-1.58,2013,San Antonio Spurs
16,31,41,.431,11.0,114.6,114.9,-0.20,2013,New Orleans Pelicans
17,17,55,.236,25.0,108.8,116.7,-7.50,2013,Houston Rockets
0,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,2014,Atlantic Division
1,49,23,.681,—,113.6,108.1,5.28,2014,Philadelphia 76ers*
2,48,24,.667,1.0,118.6,114.1,4.24,2014,Brooklyn Nets*
3,41,31,.569,8.0,107.0,104.7,2.13,2014,New York Knicks*
4,36,36,.500,13.0,112.6,111.2,1.32,2014,Boston Celtics*
5,27,45,.375,22.0,111.3,111.7,-0.54,2014,Toronto Raptors
6,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2014,Central Division
